group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,"Individual flowers stalkless, growing in 1 or more heads, spikes or whorls",,"Flowers very small (under 1/4"" long)",90,0
143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,"Individual flowers stalkless, growing in 1 or more heads, spikes or whorls",,"Flowers large (1"" or more long)",92,0
143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,,,"Flowers 4-lobed, with the lower lobe smaller than the other (Speedwells)",96,0
143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,- Flowers 2-lipped,,Stem square,98,0
143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,- Flowers 2-lipped,,Stem round,102,0
144,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,102,0
151,Irregular Flowers,Shrubs,No Apparent Leaves,,,,With no apparent leaves,104,0
152,Irregular Flowers,Shrubs,Leaves Entire,,,,Leaves entire,104,0
153,Irregular Flowers,Shrubs,Leaves Toothed or Lobed,,,,Leaves toothed,106,0
154,Irregular Flowers,Shrubs,Leaves Divided,,,,Leaves divided,106,0
162,Irregular Flowers,Vines,Leaves Entire,,,,Leaves entire,108,0
164,Irregular Flowers,Vines,Leaves Divided,Leaves without tendrils,,,Leaflets 5 or more,108,0
232-264,2 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,Wildflowers or Vines,116,0
322,3 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,"Yellow, blue or purple-brown flowers",116,0
322,3 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,White or pink flowers,118,0
332,3 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Flowers large (3/4"" or more wide)",120,0
332,3 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Flowers small (under 1/2"" wide)",122,0
333,3 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,,,,Leaves toothed or lobed,122,0
334,3 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,,,,Leaves divided,122,0
342,3 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Wildflowers with Whorled Leaves,124,0
352,3 Regular Parts,Shrubs,Leaves Entire,,,,Shrubs,126,0
362,3 Regular Parts,Vines,Leaves Entire,,,,Vines,126,0
411,4 Regular Parts,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,126,0
422,4 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Wildflowers with Basal Leaves only,128,0
432,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,"White, pink, magenta or purple flowers",,,"Leaves under 1"" long, evergreen",128,0
432,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,"White, pink, magenta or purple flowers",,,Leaves not evergreen,130,0
432,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,Yellow or green flowers,132,0
433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,,,,Yellow flowers,134,0
433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",,,"Leaves with an arrow-shaped base, which clasps the stem",136,0
433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",Leaves not arrow-shaped,,Flowers in 1 or more spikes or racemes,138,0
433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",Leaves not arrow-shaped,,Flowers not in spikes or racemes,140,0
434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Yellow flowers,,,"Flowers 1/2"" or more wide",142,0
434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Yellow flowers,,,"Flowers under 1/2"" wide",144,0
434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,Stamens numerous and conspicuous,146,0
434,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,Flowers not yellow,,,"Stamens few (5 or 6), inconspicuous",148,0
442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Leaves in whorls,152,0
442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Yellow or straw-colored flowers,154,0
442,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Leaves in pairs,,,Flowers not yellow or straw-colored,156,0
443,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,Flowers with 4 separate petals or flower rays,160,0
443,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Flowers 4-lobed, the parts obviously joined",160,0
444,4 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,162,0
452,4 Regular Parts,Shrubs,Leaves Entire,,,,Shrubs under 2' high,164,0
452,4 Regular Parts,Shrubs,Leaves Entire,Shrubs over 2' high,,,Flowers bell-shaped or tubular,164,0
452,4 Regular Parts,Shrubs,Leaves Entire,Shrubs over 2' high,,,Flowers with 4 petals,166,0
453,4 Regular Parts,Shrubs,Leaves Toothed or Lobed,,,,Leaves toothed or lobed,168,0
454,4 Regular Parts,Shrubs,Leaves Divided,,,,Leaves divided,170,0
464,4 Regular Parts,Vines,Leaves Divided,,,,Vines,170,0
511,5 Regular Parts,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,172,0
522,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Flower stalk bearing more than 1 flower,174,0
522,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Each flower stalk bearing a single flower,176,0
523,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,Flowers in a raceme or spike,178,0
523,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,Flowers in an umbel or branched cluster,180,0
523,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,Flowers growing singly or 2-3 in a cluster,182,0
524,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaflets more than 3,182,0
524,5 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaflets 3,184,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Yellow or orange flowers,,,"Largest leaves under 2"" long",186,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Yellow or orange flowers,,,"Largest leaves over 2"" long",188,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems jointed (Buckwheat Family),,Leaves arrow-shaped,188,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems jointed (Buckwheat Family),,Leaves not arrow-shaped,190,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Blue, violet or purple flowers",194,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,Low plants with evergreen or floating leaves,198,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Flowers 3/4"" or more wide",198,0
532,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Flowers not yellow or orange,Stems not jointed,,"Flowers under 3/4"" wide; leaves not evergreen or floating",200,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow flowers,,,Largest leaves about as wide as long,204,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow flowers,,,Largest leaves longer than wide,204,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Largest leaves as wide as long,,Plants prostrate or creeping over the ground,206,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Largest leaves as wide as long,,Erect plants,208,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,Flowers in heads,210,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,Flowers bell- or funnel-shaped,212,0
