group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Daisylike or asterlike flowers or flowers with shining petals,,"Flower heads or flowers under 1"" wide",378,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,Daisylike or asterlike flowers,,Leaves deeply lobed or divided,380,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,Daisylike or asterlike flowers,,Leaves toothed,382,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow or orange,,,Flowers not daisylike or asterlike,384,0
742,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Leaves entire,386,0
743,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Yellow flowers,,,Leaves with a pair of prominent lower veins running parallel to the midrib,388,0
743,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Yellow flowers,,,Leaves with only the midrib prominent,392,0
743,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,White or pink flowers,392,0
744,7 or More Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Leaves divided,394,0
752-764,7 or More Regular Parts,Shrubs,Leaves Entire,,,,Shrubs and Vines,396,0
811,Parts Indistinguishable,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,398,0
822-823,Parts Indistinguishable,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Wildflowers with Basal Leaves Only,398,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,,,,Stem and underside of leaves white-woolly,400,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem jointed,,,Leaves arrow-shaped,402,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem jointed,,,Leaves not arrow-shaped,402,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,"Larger leaves under 2"" long",,Flowers growing mostly in the axils,406,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,"Larger leaves under 2"" long",,Flowers mostly in terminal clusters,408,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,,,"Larger leaves over 1' long, very narrow",410,0
832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,,,"Larger leaves 2-12"" long",412,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,,,,Flowers growing mostly in the axils,416,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,,,Yellow flowers,416,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,,,Purple or pink flowers in heads,418,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,Larger leaves more than twice as long as wide,418,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,White or greenish-white flowers,,"Larger leaves broad, no more than 11/2 times as long as wide",420,0
833,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers terminal,,,Greenish or reddish flowers,420,0
834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves divided into 3 or more lance-shaped or wider leaflets,,,"Flowers in spikes, racemes or heads",424,0
834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves divided into 3 or more lance-shaped or wider leaflets,,,Flowers in umbels or branching clusters,426,0
834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply and irregularly lobed or divided into narrow segments,,,Leaves not prickly,426,0
834,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Divided,Leaves deeply and irregularly lobed or divided into narrow segments,,,Leaves prickly; flowers in large heads (Thistles),430,0
842,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Leaves entire,432,0
843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,White flowers,434,0
843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,"Flowers numerous, in broad, branching clusters",,,"Purple, pink, blue or violet flowers",436,0
843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,Flowers mostly in terminal racemes or spikes,438,0
843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,Flowers growing mostly in the axils,438,0
843-844,Parts Indistinguishable,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Flowers in heads, not in broad clusters",440,0
851-853,Parts Indistinguishable,Shrubs,No Apparent Leaves,,,,Shrubs,442,0
862-864,Parts Indistinguishable,Vines,Leaves Entire,,,,Vines,444,0
000,Goldenrods (Solidago),,,,,,,446,
000,Asters (Aster),,,,,,,454,
,End of book,,,,,,,463,
