model,model_display,n,sees_feature_count,sees_feature_rate,agreement_yes_count,agreement_yes_rate,blind_mc_correct_count,blind_mc_correct_rate,blind_mc_inc_count,blind_mc_inc_rate,blind_mc_wrong_count,blind_mc_wrong_rate
gpt-4o-mini,gpt-4o-mini,17,16,0.9411764705882353,11,0.6470588235294118,14,0.8235294117647058,1,0.058823529411764705,2,0.11764705882352941
gpt-5-mini,gpt-5-mini,17,16,0.9411764705882353,10,0.5882352941176471,15,0.8823529411764706,0,0.0,2,0.11764705882352941
gemini-3.1-pro-preview,gemini-3.1-pro,17,16,0.9411764705882353,15,0.8823529411764706,15,0.8823529411764706,0,0.0,2,0.11764705882352941
gemini-3-flash-preview,gemini-3-flash,17,17,1.0,15,0.8823529411764706,17,1.0,0,0.0,0,0.0
claude-sonnet-4-6,claude-sonnet-4-6,17,16,0.9411764705882353,8,0.47058823529411764,14,0.8235294117647058,0,0.0,3,0.17647058823529413
claude-haiku-4-5,claude-haiku-4-5,17,17,1.0,12,0.7058823529411765,10,0.5882352941176471,0,0.0,7,0.4117647058823529
