model,model_display,n,sees_feature_count,sees_feature_rate,mc_correct_count,mc_correct_rate,mc_inc_count,mc_inc_rate,mc_wrong_count,mc_wrong_rate,committed_count,committed_rate,committed_accuracy
gpt-4o-mini,gpt-4o-mini,270,195,0.7222222222222222,54,0.2,183,0.6777777777777778,33,0.12222222222222222,87,0.32222222222222224,0.6206896551724138
gpt-5-mini,gpt-5-mini,270,218,0.8074074074074075,138,0.5111111111111111,73,0.27037037037037037,59,0.21851851851851853,197,0.7296296296296296,0.700507614213198
gemini-3.1-pro-preview,gemini-3.1-pro,248,202,0.8145161290322581,151,0.6088709677419355,63,0.2540322580645161,34,0.13709677419354838,185,0.7459677419354839,0.8162162162162162
gemini-3-flash-preview,gemini-3-flash,270,242,0.8962962962962963,190,0.7037037037037037,47,0.17407407407407408,33,0.12222222222222222,223,0.825925925925926,0.852017937219731
claude-sonnet-4-6,claude-sonnet-4-6,270,209,0.774074074074074,148,0.5481481481481482,72,0.26666666666666666,50,0.18518518518518517,198,0.7333333333333333,0.7474747474747475
claude-haiku-4-5,claude-haiku-4-5,270,239,0.8851851851851852,94,0.34814814814814815,73,0.27037037037037037,103,0.3814814814814815,197,0.7296296296296296,0.47715736040609136
