table,feature,model,metric,actual,expected,delta,matches_rounded_0.1pct
5.3 sample,plant type,claude-sonnet-4-6,mc_correct,0.6,0.6,0.0,True
5.3 sample,plant type,claude-sonnet-4-6,mc_inc,0.05555555555555555,0.056,-0.0004444444444444487,True
5.3 sample,plant type,claude-sonnet-4-6,mc_wrong,0.34444444444444444,0.344,0.0004444444444444695,True
5.3 sample,plant type,claude-haiku-4-5,sees,1.0,1.0,0.0,True
5.3 sample,plant type,claude-haiku-4-5,mc_correct,0.4,0.4,0.0,True
5.3 sample,plant type,claude-haiku-4-5,mc_inc,0.011111111111111112,0.011,0.00011111111111111217,True
5.3 sample,plant type,claude-haiku-4-5,mc_wrong,0.5888888888888889,0.589,-0.00011111111111106187,True
5.3 sample,leaf type,gpt-4o-mini,sees,0.6888888888888889,0.689,-0.00011111111111106187,True
5.3 sample,leaf type,gpt-4o-mini,mc_correct,0.2111111111111111,0.211,0.00011111111111111738,True
5.3 sample,leaf type,gpt-4o-mini,mc_inc,0.6888888888888889,0.689,-0.00011111111111106187,True
5.3 sample,leaf type,gpt-4o-mini,mc_wrong,0.1,0.1,0.0,True
5.3 sample,leaf type,gpt-5-mini,sees,0.8555555555555555,0.856,-0.0004444444444444695,True
5.3 sample,leaf type,gpt-5-mini,mc_correct,0.6555555555555556,0.656,-0.0004444444444444695,True
5.3 sample,leaf type,gpt-5-mini,mc_inc,0.16666666666666666,0.167,-0.00033333333333335213,True
5.3 sample,leaf type,gpt-5-mini,mc_wrong,0.17777777777777778,0.178,-0.000222222222222207,True
5.3 sample,leaf type,gemini-3.1-pro,sees,0.7951807228915663,0.795,0.00018072289156623178,True
5.3 sample,leaf type,gemini-3.1-pro,mc_correct,0.6144578313253012,0.614,0.0004578313253011945,True
5.3 sample,leaf type,gemini-3.1-pro,mc_inc,0.24096385542168675,0.241,-3.6144578313246356e-05,True
5.3 sample,leaf type,gemini-3.1-pro,mc_wrong,0.14457831325301204,0.145,-0.00042168674698794817,True
5.3 sample,leaf type,gemini-3-flash,sees,0.9111111111111111,0.911,0.00011111111111106187,True
5.3 sample,leaf type,gemini-3-flash,mc_correct,0.7444444444444445,0.744,0.0004444444444444695,True
5.3 sample,leaf type,gemini-3-flash,mc_inc,0.14444444444444443,0.144,0.00044444444444444176,True
5.3 sample,leaf type,gemini-3-flash,mc_wrong,0.1111111111111111,0.111,0.0001111111111111035,True
5.3 sample,leaf type,claude-sonnet-4-6,sees,0.7111111111111111,0.711,0.00011111111111117289,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_correct,0.5777777777777777,0.578,-0.00022222222222223476,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_inc,0.3111111111111111,0.311,0.00011111111111111738,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_wrong,0.1111111111111111,0.111,0.0001111111111111035,True
5.3 sample,leaf type,claude-haiku-4-5,sees,0.9333333333333333,0.933,0.0003333333333332966,True
5.3 sample,leaf type,claude-haiku-4-5,mc_correct,0.36666666666666664,0.367,-0.00033333333333335213,True
5.3 sample,leaf type,claude-haiku-4-5,mc_inc,0.32222222222222224,0.322,0.00022222222222223476,True
5.3 sample,leaf type,claude-haiku-4-5,mc_wrong,0.3111111111111111,0.311,0.00011111111111111738,True
