model,model_display,n,sees_feature_count,sees_feature_rate,mc_correct_count,mc_correct_rate,mc_inc_count,mc_inc_rate,mc_wrong_count,mc_wrong_rate,committed_count,committed_rate,committed_accuracy
gpt-4o-mini,gpt-4o-mini,270,182,0.674074074074074,61,0.22592592592592592,176,0.6518518518518519,33,0.12222222222222222,94,0.34814814814814815,0.648936170212766
gpt-5-mini,gpt-5-mini,270,74,0.2740740740740741,46,0.17037037037037037,213,0.7888888888888889,11,0.040740740740740744,57,0.2111111111111111,0.8070175438596491
gemini-3.1-pro-preview,gemini-3.1-pro,270,224,0.8296296296296296,148,0.5481481481481482,96,0.35555555555555557,26,0.0962962962962963,174,0.6444444444444445,0.8505747126436781
gemini-3-flash-preview,gemini-3-flash,270,250,0.9259259259259259,191,0.7074074074074074,41,0.15185185185185185,38,0.14074074074074075,229,0.8481481481481481,0.834061135371179
claude-sonnet-4-6,claude-sonnet-4-6,270,226,0.837037037037037,163,0.6037037037037037,50,0.18518518518518517,57,0.2111111111111111,220,0.8148148148148148,0.740909090909091
claude-haiku-4-5,claude-haiku-4-5,270,246,0.9111111111111111,108,0.4,59,0.21851851851851853,103,0.3814814814814815,211,0.7814814814814814,0.5118483412322274
