table,feature,model,metric,actual,expected,delta,matches_rounded_0.1pct
5.3 sample,leaf type,gpt-4o-mini,sees,68.9%,68.9%,-0.0%,True
5.3 sample,leaf type,gpt-4o-mini,mc_correct,21.1%,21.1%,0.0%,True
5.3 sample,leaf type,gpt-4o-mini,mc_inc,68.9%,68.9%,-0.0%,True
5.3 sample,leaf type,gpt-4o-mini,mc_wrong,10.0%,10.0%,0.0%,True
5.3 sample,leaf type,gpt-5-mini,sees,85.6%,85.6%,-0.0%,True
5.3 sample,leaf type,gpt-5-mini,mc_correct,65.6%,65.6%,-0.0%,True
5.3 sample,leaf type,gpt-5-mini,mc_inc,16.7%,16.7%,-0.0%,True
5.3 sample,leaf type,gpt-5-mini,mc_wrong,17.8%,17.8%,-0.0%,True
5.3 sample,leaf type,gemini-3.1-pro,sees,79.5%,79.5%,0.0%,True
5.3 sample,leaf type,gemini-3.1-pro,mc_correct,61.4%,61.4%,0.0%,True
5.3 sample,leaf type,gemini-3.1-pro,mc_inc,24.1%,24.1%,-0.0%,True
5.3 sample,leaf type,gemini-3.1-pro,mc_wrong,14.5%,14.5%,-0.0%,True
5.3 sample,leaf type,gemini-3-flash,sees,91.1%,91.1%,0.0%,True
5.3 sample,leaf type,gemini-3-flash,mc_correct,74.4%,74.4%,0.0%,True
5.3 sample,leaf type,gemini-3-flash,mc_inc,14.4%,14.4%,0.0%,True
5.3 sample,leaf type,gemini-3-flash,mc_wrong,11.1%,11.1%,0.0%,True
5.3 sample,leaf type,claude-sonnet-4-6,sees,71.1%,71.1%,0.0%,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_correct,57.8%,57.8%,-0.0%,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_inc,31.1%,31.1%,0.0%,True
5.3 sample,leaf type,claude-sonnet-4-6,mc_wrong,11.1%,11.1%,0.0%,True
5.3 sample,leaf type,claude-haiku-4-5,sees,93.3%,93.3%,0.0%,True
5.3 sample,leaf type,claude-haiku-4-5,mc_correct,36.7%,36.7%,-0.0%,True
5.3 sample,leaf type,claude-haiku-4-5,mc_inc,32.2%,32.2%,0.0%,True
5.3 sample,leaf type,claude-haiku-4-5,mc_wrong,31.1%,31.1%,0.0%,True
